document_id,After Lemmatization,sentiment
21,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
22,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
23,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
24,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
25,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
26,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
27,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
28,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
29,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
30,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
31,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
32,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
33,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
34,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
35,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
36,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
37,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
38,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
39,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
40,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
41,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
42,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
43,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
44,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
45,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
46,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
47,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
48,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
49,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
50,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
51,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
52,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
53,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
54,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
55,want give time use phone write review everyth great far batteri longlast without charg screen blemish face recognit work perfectli,Positive
56,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
57,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
58,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
59,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
60,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
61,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
62,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
63,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
64,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
65,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
66,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
67,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
68,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
69,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
70,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
71,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
72,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
73,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
74,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
75,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
76,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
77,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
78,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
79,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
80,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
81,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
82,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
83,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
84,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
85,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
86,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
87,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
88,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
89,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
90,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
91,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
92,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
93,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
94,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
95,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
96,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
97,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
98,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
99,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
100,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
101,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
102,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
103,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
104,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
105,order phone black phone came scratch mark came  percent batteri realli love noth wrong camera run good doesn heat fast easi use set quick got latest is  updat,Positive
106,worri order read review in satisfi damag that dust screen wipe phone alcohol boom brand new packag arriv  day  day earlier expect look brand new couldn tell ever use came type c charg box includ or think would hard adjust size slightli smaller small hand batteri health  cool or  problem transfer cloud data old phone took  minut top also compat mobil him card in happi complaint dont know say far bad review your super worri get bad phone recommend buy new one avoid possibl disappoint case left disappoint wish,Negative
107,use phone one hand top left corner bit stretch smaller profil lighter weight mean also adjust grip phone one hand without social medium ape batteri last day even watch move stream live need batteri still predict reason in never crumbl find charg love phone plan keep in formid upgrad anoth phone similar proport,Positive
108,  mind smallest phone left prefer smaller size receiv  phone upgrad horrid even pay littl extra get phone,Neutral
109,batteri  still good n everyth work reli good  recommend first scare cut bad review good one reli good didn expect tini also mine came seen protect catch noth like mmm,Positive
110,want give time use phone write review everyth great far batteri longlast without charg screen blemish face recognit work perfectli,Positive
111,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
112,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
113,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
114,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
115,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
116,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
117,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
118,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
119,order phone  wait write review bc want test first afraid order refurbish phone in glad phone arriv day promis expect phone scratch batteri capac   got phone look brand new scratch damag kind batteri capac  needle say pleasantli surpris excel condit although phone small fit well hand put diaclara design full bodi case phone clear back glitter case make phone look wee bit larger far phone work well oh almost forgot came charg cabl charg fast,Positive
120,resist first receiv shock want upgrad phone  mainli better design  hold arriv look brand new easi set came charg came him remov total recommend phone anyon need budget upgrad scare phone bad qualiti get offici one appl,Positive
121,in sure hand  star review receiv product time ship receiv daysup fast in forev resist buy anyth refurbish littl research onlin amazon standard usedveri good usedexcel etc set super easi bit hiccup tri phone updat transfer set new phone transfer updat much quicker unfortun side buy use dont know previou person phone upon look batteri health  littl irrit rememb go  year oldthat actual pretti good overal  star there doubt compani recent neg review take overlook look rate whole couldn happier purchas,Positive
122,scare read review peopl complain state phone mine came excel condit like case free major debt scratch also batteri  health  buck good deal expect come way wors condit buy refurbish like lotteri in satisfi product first pick show everyth phone came,Positive
